Period,PeAITF,PeISMF,PeIPE40F,PeAEVGF,PeEMAS,PeFAF,PeAGFF
1-Day,-0.34%,-0.67%,-0.27%,-0.43%,0.69%,-0.89%,-0.91%
1-Week,-1.54%,-0.76%,-0.50%,-0.04%,3.27%,-1.65%,-0.85%
2-Week,-2.32%,-0.81%,-0.99%,-4.64%,0.15%,-2.30%,-1.97%
3-Week,1.03%,2.46%,3.26%,-1.63%,-2.10%,-0.22%,0.71%
1-Month,3.23%,5.64%,5.07%,-0.35%,1.75%,-1.24%,0.34%
3-Month,4.47%,5.16%,9.58%,11.81%,7.50%,-2.96%,2.50%
6-Month,3.12%,4.34%,6.03%,3.23%,3.88%,-5.02%,5.03%
9-Month,9.94%,10.61%,10.43%,11.81%,19.58%,5.86%,17.04%
1-Year,27.26%,17.90%,26.19%,12.20%,24.06%,13.04%,26.54%
2-Year,85.27%,42.05%,65.49%,17.95%,41.67%,26.95%,30.52%
3-Year,17.45%,16.74%,5.55%,N/A,44.36%,-1.02%,N/A
Selected_To_Date,21-Nov-2024,21-Nov-2024,21-Nov-2024,21-Nov-2024,21-Nov-2024,21-Nov-2024,21-Nov-2024
