Period,PIMXAF,PITSEQ,PRSF,POGF,PISTF,PSTEF,PIOF,PCTF,PCASEF
1-Day,-0.33%,-0.50%,-0.81%,0.09%,0.17%,0.47%,0.10%,-0.88%,-0.19%
1-Week,-1.00%,-0.89%,-0.64%,-1.23%,-1.36%,0.47%,-0.33%,-4.39%,-1.98%
2-Week,0.78%,0.75%,1.75%,1.67%,1.84%,3.00%,2.21%,-1.35%,2.40%
3-Week,0.99%,0.45%,1.18%,1.55%,1.35%,2.43%,1.80%,-0.99%,1.18%
1-Month,0.66%,0.91%,2.58%,2.62%,2.93%,3.40%,2.06%,-1.65%,-0.12%
3-Month,1.85%,3.19%,5.87%,1.18%,-3.07%,1.28%,-5.91%,15.22%,14.37%
6-Month,6.25%,7.36%,5.04%,2.89%,-2.63%,2.46%,-7.93%,5.06%,3.37%
9-Month,12.09%,15.50%,9.81%,11.83%,2.96%,11.21%,0.79%,22.20%,9.08%
1-Year,19.28%,26.78%,16.51%,19.71%,9.52%,18.37%,12.99%,21.65%,7.64%
2-Year,31.29%,40.15%,24.10%,25.87%,23.24%,28.33%,18.61%,38.36%,3.20%
3-Year,7.16%,23.27%,17.94%,17.83%,-1.67%,-0.35%,-10.41%,3.30%,-18.76%
