Period,PIMXAF,PITSEQ,PRSF,POGF,PISTF,PSTEF,PIOF,PCTF,PCASEF
1-Day,-0.84%,-0.79%,-0.58%,-0.63%,-0.15%,-0.45%,-0.43%,-0.71%,-0.03%
1-Week,-1.22%,-0.37%,-0.08%,-0.91%,-0.77%,-0.54%,-0.28%,-0.26%,-1.62%
2-Week,-2.21%,-1.26%,-0.72%,-2.13%,-2.12%,-0.07%,-0.61%,-4.64%,-3.57%
3-Week,-0.45%,0.38%,1.67%,0.75%,1.06%,2.44%,1.92%,-1.60%,0.74%
1-Month,-0.60%,-0.10%,2.16%,0.63%,0.10%,2.03%,0.94%,-0.79%,0.45%
3-Month,0.39%,2.62%,3.29%,-0.09%,-2.54%,1.31%,-5.18%,13.61%,11.28%
6-Month,3.42%,5.86%,3.68%,-0.79%,-5.84%,-0.76%,-10.55%,4.70%,0.92%
9-Month,9.45%,14.83%,8.52%,10.43%,1.83%,9.65%,-0.80%,16.84%,3.93%
1-Year,16.80%,25.75%,15.76%,17.91%,7.42%,16.84%,10.88%,20.25%,4.82%
2-Year,30.71%,41.54%,25.54%,26.04%,22.61%,28.39%,18.76%,36.39%,4.65%
3-Year,5.36%,22.07%,18.11%,16.50%,-3.58%,0.35%,-11.39%,2.47%,-20.70%
Selected_To_Date,21-Nov-2024,21-Nov-2024,21-Nov-2024,21-Nov-2024,21-Nov-2024,21-Nov-2024,21-Nov-2024,21-Nov-2024,21-Nov-2024
