Period,PeAITF,PeISMF,PeIPE40F,PeAEVGF,PeEMAS,PeFAF,PeAGFF
1-Day|06Nov2024,2.03%,1.83%,1.27%,1.43%,1.50%,0.12%,0.72%
1-Week|31Oct2024,3.42%,3.29%,4.29%,3.17%,-2.25%,2.12%,2.74%
2-Week|24Oct2024,5.62%,4.85%,5.75%,3.74%,0.07%,1.46%,2.33%
1-Month|07Oct2024,8.42%,6.71%,7.28%,-0.21%,4.81%,3.41%,3.53%
3-Month|07Aug2024,17.36%,13.24%,19.52%,22.37%,9.74%,1.09%,7.46%
6-Month|07May2024,8.57%,7.27%,8.66%,11.36%,7.15%,0.79%,10.66%
9-Month|07Feb2024,10.96%,10.41%,10.48%,20.24%,19.58%,9.48%,21.31%
1-Year|07Nov2023,37.10%,21.69%,32.97%,18.82%,25.06%,17.30%,31.26%
2-Year|07Nov2022,93.31%,44.24%,68.72%,29.12%,41.79%,31.82%,34.00%
3-Year|07Nov2021,21.91%,18.86%,7.47%,N/A,47.05%,2.57%,N/A
